t,x,y,z
10.31736,19844.5,2209.7,45629.0
10.31806,19844.8,2209.7,45628.5
10.31875,19844.7,2210.1,45628.1
10.31944,19844.2,2210.2,45628.3
10.32014,19844.2,2210.2,45628.6
10.32083,19844.2,2210.3,45628.4
10.32153,19844.0,2210.0,45628.4
10.32222,19843.6,2209.5,45628.8
10.32292,19844.0,2209.4,45628.6
10.32361,19843.7,2209.1,45628.5
10.32431,19843.5,2208.6,45628.4
10.325,19843.6,2208.2,45628.3
10.32569,19843.6,2208.1,45628.2
10.32639,19843.6,2207.8,45628.2
10.32708,19843.6,2207.9,45627.9
10.32778,19843.6,2208.1,45627.9
10.32847,19843.4,2207.7,45628.1
10.32917,19843.4,2207.9,45628.0
10.32986,19842.4,2208.1,45628.8
10.33056,19842.5,2208.1,45628.7
10.33125,19842.4,2208.0,45628.7
10.33194,19842.3,2208.1,45628.6
10.33264,19842.0,2208.1,45628.4
10.33333,19841.8,2207.9,45628.8
10.33403,19842.1,2207.8,45628.1
10.33472,19841.9,2208.1,45628.6
10.33542,19841.5,2208.1,45629.4
10.33611,19841.8,2207.8,45628.5
10.33681,19842.0,2208.0,45627.7
10.3375,19841.9,2208.1,45627.8
10.33819,19842.0,2207.8,45628.4
10.33889,19843.0,2206.7,45627.9
10.33958,19843.4,2206.6,45628.3
10.34028,19843.2,2206.9,45628.5
10.34097,19842.5,2207.1,45628.8
10.34167,19842.3,2206.9,45628.7
10.34236,19841.9,2207.2,45628.7
10.34306,19841.9,2207.0,45628.5
10.34375,19842.2,2206.9,45628.6
10.34444,19841.2,2206.9,45630.0
10.34514,19841.5,2207.2,45629.2
10.34583,19841.5,2206.9,45629.5
10.34653,19841.8,2206.4,45629.5
10.34722,19841.6,2206.4,45629.6
10.34792,19841.6,2206.4,45629.6
10.34861,19841.3,2206.8,45629.0
10.34931,19841.0,2207.2,45628.6
10.35,19840.3,2207.0,45629.2
10.35069,19840.1,2206.6,45630.1
10.35139,19840.8,2206.9,45629.4
10.35208,19840.9,2206.9,45629.0
10.35278,19841.0,2207.2,45629.6
10.35347,19840.1,2207.3,45630.1
10.35417,19840.4,2206.7,45629.9
10.35486,19840.6,2206.7,45629.7
10.35556,19840.7,2207.0,45629.7
10.35625,19840.0,2206.9,45630.1
10.35694,19839.8,2206.7,45629.8
10.35764,19839.1,2206.6,45630.2
10.35833,19838.7,2206.2,45629.9
10.35903,19838.6,2206.4,45629.9
10.35972,19838.5,2207.0,45629.2
10.36042,19837.6,2207.6,45629.0
10.36111,19837.1,2208.2,45629.8
10.36181,19836.9,2208.6,45630.0
10.3625,19837.0,2208.5,45629.8
10.36319,19836.7,2207.9,45629.9
10.36389,19836.8,2207.0,45628.6
10.36458,19835.9,2207.4,45628.9
10.36528,19836.0,2207.6,45629.6
10.36597,19835.7,2208.0,45629.7
10.36667,19834.8,2208.8,45629.8
10.36736,19834.1,2209.0,45629.7
10.36806,19834.1,2208.8,45629.5
10.36875,19833.9,2208.7,45629.4
10.36944,19833.6,2208.8,45629.8
10.37014,19833.6,2208.5,45629.9
10.37083,19833.7,2208.1,45630.2
10.37153,19833.6,2208.2,45629.5
10.37222,19832.5,2208.7,45629.6
10.37292,19831.6,2209.2,45629.8
10.37361,19831.4,2209.3,45630.4
10.37431,19831.6,2208.6,45629.8
10.375,19830.7,2208.2,45630.6
10.37569,19830.3,2208.7,45630.4
10.37639,19829.6,2209.2,45630.5
10.37708,19828.3,2209.8,45630.7
10.37778,19827.7,2210.3,45631.1
10.37847,19828.2,2210.3,45630.9
10.37917,19828.3,2209.9,45630.9
10.37986,19828.1,2209.8,45630.5
10.38056,19828.0,2210.0,45629.9
10.38125,19827.1,2210.7,45630.2
10.38194,19825.9,2212.0,45630.6
10.38264,19825.9,2212.3,45630.8
10.38333,19826.1,2212.0,45630.9
10.38403,19826.6,2211.1,45631.1
10.38472,19827.3,2210.9,45631.1
10.38542,19827.4,2211.2,45631.3
10.38611,19827.2,2211.5,45631.7
10.38681,19827.4,2211.7,45631.4
10.3875,19827.7,2211.7,45630.6
10.38819,19826.7,2212.1,45631.2
10.38889,19827.2,2211.8,45630.5
10.38958,19827.5,2211.5,45630.1
10.39028,19827.3,2211.6,45630.8
10.39097,19828.3,2211.3,45629.7
10.39167,19827.9,2210.4,45630.3
10.39236,19827.2,2211.7,45630.4
10.39306,19826.6,2212.7,45630.9
10.39375,19826.2,2213.3,45631.2
10.39444,19826.1,2212.9,45630.8
10.39514,19826.2,2212.0,45631.3
10.39583,19826.6,2211.3,45630.9
10.39653,19826.5,2211.0,45631.3
10.39722,19826.7,2211.0,45631.4
10.39792,19826.0,2212.1,45631.6
10.39861,19824.5,2213.6,45632.6
10.39931,19824.2,2213.5,45632.7
10.4,19824.3,2212.2,45633.4
10.40069,19825.3,2210.9,45633.6
10.40139,19825.2,2210.7,45632.4
10.40208,19825.0,2210.5,45631.7
10.40278,19823.8,2210.5,45632.5
10.40347,19823.4,2210.8,45632.1
10.40417,19822.2,2211.0,45632.4
10.40486,19821.3,2211.2,45632.8
10.40556,19821.2,2211.1,45633.8
10.40625,19821.0,2211.4,45633.8
10.40694,19820.7,2211.6,45633.7
10.40764,19820.4,2211.4,45633.3
10.40833,19820.1,2211.1,45633.2
